CSAFP,CBSAFP,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
,14180,14180,310M700US14180,"Blytheville, AR","Blytheville, AR Micro Area",M2,2,G3110,2336409875,72224609,+35.7669437,-090.0522072,2411.241380582407,0.1
406,14220,14220,310M700US14220,"Bogalusa, LA","Bogalusa, LA Micro Area",M2,2,G3110,1734352071,16140411,+30.8521435,-090.0462534,1752.7539462822403,0.1
147,14260,14260,310M700US14260,"Boise City, ID","Boise City, ID Metro Area",M1,1,G3110,30475383742,170955996,+43.0066485,-116.1419089,35084.85413013195,0.1
206,14300,14300,310M700US14300,"Bonham, TX","Bonham, TX Micro Area",M2,2,G3110,2273850338,54247784,+33.5911611,-096.1049882,2367.592235036616,0.1
,14380,14380,310M700US14380,"Boone, NC","Boone, NC Micro Area",M2,2,G3110,809214845,2271720,+36.2353679,-081.7098875,815.3922584609285,0.1
108,14420,14420,310M700US14420,"Borger, TX","Borger, TX Micro Area",M2,2,G3110,2298418616,19497034,+35.8370470,-101.3627461,2413.996588652758,0.1
148,14460,14460,310M700US14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,1,G3110,9029076015,2654724140,+42.5176060,-071.0219925,12177.76745825184,0.1
216,14500,14500,310M700US14500,"Boulder, CO","Boulder, CO Metro Area",M1,1,G3110,1881388403,36422357,+40.0949712,-105.3977104,2034.8378496595765,0.1
150,14540,14540,310M700US14540,"Bowling Green, KY","Bowling Green, KY Metro Area",M1,1,G3110,4181201705,63545751,+37.0468044,-086.3973979,4241.685321294748,0.1
,14580,14580,310M700US14580,"Bozeman, MT","Bozeman, MT Metro Area",M1,1,G3110,6747835735,73611270,+45.5180536,-111.1639214,7428.754907976519,0.1
,14620,14620,310M700US14620,"Bradford, PA","Bradford, PA Micro Area",M2,2,G3110,2537396734,13033864,+41.8145902,-078.5724631,2579.3300779472006,0.1
,14660,14660,310M700US14660,"Brainerd, MN","Brainerd, MN Micro Area",M2,2,G3110,7821432261,1426429735,+46.7672909,-094.2238624,9310.133942392218,0.1
,14700,14700,310M700US14700,"Branson, MO","Branson, MO Micro Area",M2,2,G3110,1637553944,50101664,+36.6498267,-093.0428188,1698.4737704443673,0.1
313,14710,14710,310M700US14710,"Brattleboro, VT","Brattleboro, VT Micro Area",M2,2,G3110,2035623279,32917049,+42.9953040,-072.7218771,2136.7436320471975,0.1
,14720,14720,310M700US14720,"Breckenridge, CO","Breckenridge, CO Micro Area",M2,2,G3110,2551779085,46422501,+39.4750498,-106.2020714,2775.772750940277,0.1
500,14740,14740,310M700US14740,"Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale-Port Orchard, WA Metro Area",M1,1,G3110,1023333489,442162371,+47.6396874,-122.6496358,1731.8720496089277,0.1
288,14780,14780,310M700US14780,"Brenham, TX","Brenham, TX Micro Area",M2,2,G3110,1564856214,45470591,+30.2150752,-096.4102717,1641.9435098120452,0.1
120,14820,14820,310M700US14820,"Brevard, NC","Brevard, NC Micro Area",M2,2,G3110,979943598,5091023,+35.2101025,-082.8166660,987.8054375465565,0.1
408,14860,14860,310M700US14860,"Bridgeport-Stamford-Danbury, CT","Bridgeport-Stamford-Danbury, CT Metro Area",M1,1,G3110,1741275057,553944779,+41.2524425,-073.3932662,2367.8366974864393,0.1
482,14940,14940,310M700US14940,"Brigham City, UT-ID","Brigham City, UT-ID Micro Area",M2,2,G3110,18078776560,2459155033,+41.6226233,-113.0602520,23000.757085718975,0.1
298,15020,15020,310M700US15020,"Brookhaven, MS","Brookhaven, MS Micro Area",M2,2,G3110,1518269754,5291052,+31.5352155,-090.4535663,1526.392069417626,0.1
152,15060,15060,310M700US15060,"Brookings, OR","Brookings, OR Micro Area",M2,2,G3110,4217523678,934580665,+42.4664387,-124.2109292,6430.805527615956,0.1
,15100,15100,310M700US15100,"Brookings, SD","Brookings, SD Micro Area",M2,2,G3110,2051833292,32942236,+44.3766745,-096.7977971,2114.468082933951,0.1
154,15180,15180,310M700US15180,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX Metro Area",M1,1,G3110,2309546780,1004825707,+26.1029227,-097.4789584,3402.4737565632636,0.1
,15220,15220,310M700US15220,"Brownwood, TX","Brownwood, TX Micro Area",M2,2,G3110,2446120254,32375524,+31.7641372,-098.9984560,2556.7761710120426,0.1
,15260,15260,310M700US15260,"Brunswick-St. Simons, GA","Brunswick-St. Simons, GA Metro Area",M1,1,G3110,3351974872,808613951,+31.3017391,-081.5889087,4184.64632075155,0.1
360,15340,15340,310M700US15340,"Bucyrus, OH","Bucyrus, OH Micro Area",M2,2,G3110,1040619655,2359514,+40.8485244,-082.9247827,1045.1864591015478,0.1
160,15380,15380,310M700US15380,"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY Metro Area",M1,1,G3110,4053619567,2075648706,+43.0443711,-078.7773351,6192.340565526941,0.1
468,40260,40260,310M700US40260,"Roanoke Rapids, NC","Roanoke Rapids, NC Micro Area",M2,2,G3110,3264546479,52770062,+36.3205759,-077.5427565,3374.085159237448,0.1
