STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
13,275,92256,01936450,1327592256,0600000US1327592256,Ochlocknee,Ochlocknee CCD,22,Z5,G4040,S,205675145,3701690,+30.9678380,-084.0252315,209.62560004515333,0.1
13,275,90330,01936121,1327590330,0600000US1327590330,Boston,Boston CCD,22,Z5,G4040,S,278187392,2659033,+30.7435210,-083.7994187,281.2679144369174,0.1
13,089,90612,01936170,1308990612,0600000US1308990612,Chamblee-Doraville,Chamblee-Doraville CCD,22,Z5,G4040,S,97763636,898192,+33.9075917,-084.3085830,98.73352108583376,0.5412828483579768
13,089,90150,01936090,1308990150,0600000US1308990150,Atlanta-Decatur,Atlanta-Decatur CCD,22,Z5,G4040,S,322604116,2314863,+33.7369391,-084.2642049,325.1739769973687,0.7329419875949719
13,089,93096,01936599,1308993096,0600000US1308993096,Tucker,Tucker CCD,22,Z5,G4040,S,63681356,384509,+33.8582263,-084.2351776,64.11797855048506,0.42145428887902214
13,089,92868,01936559,1308992868,0600000US1308992868,Stone Mountain,Stone Mountain CCD,22,Z5,G4040,S,50146711,2017698,+33.8102720,-084.1414398,52.21148259650348,0.1
13,029,91236,01936276,1302991236,0600000US1302991236,Fort Stewart,Fort Stewart CCD,22,Z5,G4040,S,438811295,4133050,+32.0263700,-081.4940823,445.5525372241267,0.1
13,029,92514,01936495,1302992514,0600000US1302992514,Richmond Hill,Richmond Hill CCD,22,Z5,G4040,S,331965253,37083984,+31.8502030,-081.2648237,371.44114000871286,0.1
13,257,92556,01936503,1325792556,0600000US1325792556,Rock Creek,Rock Creek CCD,22,Z5,G4040,S,108726772,7225800,+34.5682391,-083.2210338,116.20662198576967,0.1
13,257,91934,01936134,1325791934,0600000US1325791934,Martin-Avalon,Martin-Avalon CCD,22,Z5,G4040,S,202250111,1806797,+34.5130852,-083.3132267,204.47035958401688,0.1
13,257,93054,01936591,1325793054,0600000US1325793054,Toccoa,Toccoa CCD,22,Z5,G4040,S,152273418,4006673,+34.6046916,-083.3246400,156.59160264557926,0.1
13,217,90804,01936203,1321790804,0600000US1321790804,Covington-Porterdale,Covington-Porterdale CCD,22,Z5,G4040,S,344793936,6390376,+33.5985619,-083.9021775,351.6188982011805,0.1
13,205,92340,01936465,1320592340,0600000US1320592340,Pelham,Pelham CCD,22,Z5,G4040,S,280347062,1209757,+31.1238773,-084.1553771,281.8432156067365,0.1
13,287,90134,01936087,1328790134,0600000US1328790134,Ashburn-Sycamore,Ashburn-Sycamore CCD,22,Z5,G4040,S,559964392,9534456,+31.6953113,-083.6531800,570.4582170549397,0.1
13,315,90006,01936064,1331590006,0600000US1331590006,Abbeville,Abbeville CCD,22,Z5,G4040,S,301956944,5527193,+31.9531876,-083.3164444,308.1611564493202,0.1
13,255,92292,01936457,1325592292,0600000US1325592292,Orchard Hill,Orchard Hill CCD,22,Z5,G4040,S,83042623,1381362,+33.2199733,-084.1709959,84.50082163113325,0.1
13,101,93318,01936638,1310193318,0600000US1310193318,West Echols,West Echols CCD,22,Z5,G4040,S,215354702,178,+30.7454014,-083.0891308,215.93092456418418,0.1
13,271,91896,01936387,1327191896,0600000US1327191896,McRae-Helena,McRae-Helena CCD,22,Z5,G4040,S,286899947,3656798,+32.0224041,-082.8798600,291.41466395466733,0.1
13,255,93071,01936499,1325593071,0600000US1325593071,Towalaga,Towalaga CCD,22,Z5,G4040,S,88050766,2450483,+33.2995252,-084.1814931,90.58322435203482,0.1
13,255,91380,01936300,1325591380,0600000US1325591380,Griffin,Griffin CCD,22,Z5,G4040,S,109388324,1292047,+33.2576511,-084.2733773,110.76768711054046,0.1
13,071,92100,01936422,1307192100,0600000US1307192100,Moultrie,Moultrie CCD,22,Z5,G4040,S,378473206,6298679,+31.1276144,-083.7487727,385.37556292128,0.1
13,313,93350,01936643,1331393350,0600000US1331393350,West Whitfield,West Whitfield CCD,22,Z5,G4040,S,224005787,386427,+34.7445005,-085.0597675,224.38776028922717,0.1
13,313,92220,01936444,1331392220,0600000US1331392220,North Whitfield,North Whitfield CCD,22,Z5,G4040,S,207618231,575365,+34.9337666,-084.9095327,208.21368741537174,0.1
13,185,91686,01936351,1318591686,0600000US1318591686,Lake Park,Lake Park CCD,22,Z5,G4040,S,156970133,9617584,+30.7161208,-083.2024054,167.00082000019253,0.1
13,207,91206,01936271,1320791206,0600000US1320791206,Forsyth,Forsyth CCD,22,Z5,G4040,S,480454679,4012223,+33.0981486,-083.9114681,485.06933164729725,0.1
13,059,90138,01936088,1305990138,0600000US1305990138,Athens,Athens CCD,22,Z5,G4040,S,164801988,2588145,+33.9279787,-083.3538228,167.7251664353825,0.1
13,059,93402,01936652,1305993402,0600000US1305993402,Winterville,Winterville CCD,22,Z5,G4040,S,94798969,1480108,+33.9873447,-083.3238498,96.47516420766199,0.1
13,083,91809,01936372,1308391809,0600000US1308391809,Lookout Mountain,Lookout Mountain CCD,22,Z5,G4040,S,104371618,220331,+34.8023519,-085.4532727,104.55851373610763,0.1
13,119,91698,01936353,1311991698,0600000US1311991698,Lavonia,Lavonia CCD,22,Z5,G4040,S,154657049,7908992,+34.4533541,-083.1332193,162.9418069591287,0.1
13,113,92331,01936605,1311392331,0600000US1311392331,Peachtree City-Tyrone,Peachtree City-Tyrone CCD,22,Z5,G4040,S,189416396,5557919,+33.4308672,-084.5569065,195.06641670848555,0.1
13,113,90432,01936138,1311390432,0600000US1311390432,Brooks,Brooks CCD,22,Z5,G4040,S,141877392,3714055,+33.3214775,-084.4577492,145.67656265725907,0.1
13,001,90078,01936077,1300190078,0600000US1300190078,Altamaha River,Altamaha River CCD,22,Z5,G4040,S,325866608,6476484,+31.8787134,-082.2783139,333.72222561765386,0.1
13,001,92905,01936566,1300192905,0600000US1300192905,Surrency-Troper,Surrency-Troper CCD,22,Z5,G4040,S,388759782,568690,+31.6667971,-082.1882420,391.01796897306485,0.1
13,001,90240,01936105,1300190240,0600000US1300190240,Baxley,Baxley CCD,22,Z5,G4040,S,228732674,1072829,+31.8017242,-082.3287092,230.73065540956873,0.1
13,001,90273,01936530,1300190273,0600000US1300190273,Big Satilla Creek,Big Satilla Creek CCD,22,Z5,G4040,S,373034729,2239485,+31.6892652,-082.3809625,376.75265234048567,0.1
13,169,91351,01936295,1316991351,0600000US1316991351,Gray-Macon East,Gray-Macon East CCD,22,Z5,G4040,S,511938630,2354582,+32.9651824,-083.5313745,515.2239329286026,0.1
13,197,92207,01936439,1319792207,0600000US1319792207,North Marion,North Marion CCD,22,Z5,G4040,S,513760839,2148756,+32.4377472,-084.5226277,516.1882952110362,0.1
13,249,91062,01936247,1324991062,0600000US1324991062,Ellaville North,Ellaville North CCD,22,Z5,G4040,S,245777619,1462519,+32.3182006,-084.3324186,247.43096278055503,0.1
13,249,91068,01936248,1324991068,0600000US1324991068,Ellaville South,Ellaville South CCD,22,Z5,G4040,S,186513583,907130,+32.1914746,-084.2967105,187.56860681725658,0.1
13,005,92562,01936504,1300592562,0600000US1300592562,Rockingham,Rockingham CCD,22,Z5,G4040,S,374933152,2206488,+31.5631444,-082.3878355,378.62333643790413,0.1
13,069,90084,01936078,1306990084,0600000US1306990084,Ambrose,Ambrose CCD,22,Z5,G4040,S,358997478,9313875,+31.5128477,-083.0119626,369.3217453269855,0.1
13,069,90972,01936231,1306990972,0600000US1306990972,Douglas,Douglas CCD,22,Z5,G4040,S,320332656,5154239,+31.4625845,-082.8316691,326.4873758226399,0.1
13,069,93324,01936639,1306993324,0600000US1306993324,West Green,West Green CCD,22,Z5,G4040,S,257239186,3900433,+31.6070079,-082.7422568,261.98414181805487,0.1
13,193,91542,01936327,1319391542,0600000US1319391542,Ideal,Ideal CCD,22,Z5,G4040,S,347994591,4879740,+32.3969354,-084.1229695,353.2275612134498,0.1
13,193,92274,01936454,1319392274,0600000US1319392274,Oglethorpe,Oglethorpe CCD,22,Z5,G4040,S,202754858,3437181,+32.2614341,-084.1290875,206.40299300063768,0.1
13,021,92634,01936518,1302192634,0600000US1302192634,Rutland,Rutland CCD,22,Z5,G4040,S,105670217,1186696,+32.7190994,-083.6626335,107.02943411724087,0.1
13,045,92112,01936424,1304592112,0600000US1304592112,Mount Zion,Mount Zion CCD,22,Z5,G4040,S,147291333,620045,+33.6425612,-085.1809983,147.89708677083735,0.1
13,045,93216,01936620,1304593216,0600000US1304593216,Villa Rica,Villa Rica CCD,22,Z5,G4040,S,116393631,1525325,+33.7209552,-084.9507392,117.92958566779177,0.1
