"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13121008201","Census Tract 82.01, Fulton County, Georgia","598","5850",
"1400000US13121008202","Census Tract 82.02, Fulton County, Georgia","518","3036",
"1400000US13121008301","Census Tract 83.01, Fulton County, Georgia","518","2859",
"1400000US13121008302","Census Tract 83.02, Fulton County, Georgia","493","2631",
"1400000US13121008400","Census Tract 84, Fulton County, Georgia","581","3460",
"1400000US13121008500","Census Tract 85, Fulton County, Georgia","827","4366",
"1400000US13121008601","Census Tract 86.01, Fulton County, Georgia","717","4986",
"1400000US13121008602","Census Tract 86.02, Fulton County, Georgia","574","2588",
"1400000US13121008700","Census Tract 87, Fulton County, Georgia","582","4304",
"1400000US13121008800","Census Tract 88, Fulton County, Georgia","767","5604",
"1400000US13121008902","Census Tract 89.02, Fulton County, Georgia","585","5995",
"1400000US13121008903","Census Tract 89.03, Fulton County, Georgia","393","2256",
"1400000US13121008904","Census Tract 89.04, Fulton County, Georgia","521","5633",
"1400000US13121009000","Census Tract 90, Fulton County, Georgia","301","3797",
"1400000US13121009101","Census Tract 91.01, Fulton County, Georgia","468","4624",
"1400000US13121009102","Census Tract 91.02, Fulton County, Georgia","340","3223",
"1400000US13121009200","Census Tract 92, Fulton County, Georgia","639","4840",
"1400000US13121009300","Census Tract 93, Fulton County, Georgia","352","4547",
"1400000US13121009402","Census Tract 94.02, Fulton County, Georgia","672","3893",
"1400000US13121009403","Census Tract 94.03, Fulton County, Georgia","942","4656",
"1400000US13121009404","Census Tract 94.04, Fulton County, Georgia","487","3820",
"1400000US13121009501","Census Tract 95.01, Fulton County, Georgia","388","4150",
"1400000US13121009502","Census Tract 95.02, Fulton County, Georgia","439","3635",
"1400000US13121009601","Census Tract 96.01, Fulton County, Georgia","363","2256",
"1400000US13121009602","Census Tract 96.02, Fulton County, Georgia","471","4037",
"1400000US13121009603","Census Tract 96.03, Fulton County, Georgia","354","3571",
"1400000US13121009700","Census Tract 97, Fulton County, Georgia","280","4297",
"1400000US13121009801","Census Tract 98.01, Fulton County, Georgia","431","4257",
"1400000US13121009802","Census Tract 98.02, Fulton County, Georgia","294","3973",
"1400000US13121009900","Census Tract 99, Fulton County, Georgia","362","4918",
"1400000US13121010001","Census Tract 100.01, Fulton County, Georgia","329","4703",
"1400000US13121010002","Census Tract 100.02, Fulton County, Georgia","768","6614",
"1400000US13121010106","Census Tract 101.06, Fulton County, Georgia","413","4073",
"1400000US13121010107","Census Tract 101.07, Fulton County, Georgia","205","1829",
"1400000US13121010108","Census Tract 101.08, Fulton County, Georgia","326","3999",
"1400000US13121010110","Census Tract 101.10, Fulton County, Georgia","579","4450",
"1400000US13121010113","Census Tract 101.13, Fulton County, Georgia","670","5107",
"1400000US13121010114","Census Tract 101.14, Fulton County, Georgia","610","5926",
"1400000US13121010115","Census Tract 101.15, Fulton County, Georgia","330","2324",
"1400000US13121010117","Census Tract 101.17, Fulton County, Georgia","515","2801",
"1400000US13121010118","Census Tract 101.18, Fulton County, Georgia","535","5014",
"1400000US13121010119","Census Tract 101.19, Fulton County, Georgia","585","4839",
"1400000US13121010120","Census Tract 101.20, Fulton County, Georgia","401","2228",
"1400000US13121010121","Census Tract 101.21, Fulton County, Georgia","176","1625",
"1400000US13121010122","Census Tract 101.22, Fulton County, Georgia","483","5170",
"1400000US13121010123","Census Tract 101.23, Fulton County, Georgia","559","3321",
"1400000US13121010204","Census Tract 102.04, Fulton County, Georgia","199","4916",
"1400000US13121010205","Census Tract 102.05, Fulton County, Georgia","385","4993",
"1400000US13121010206","Census Tract 102.06, Fulton County, Georgia","389","5254",
"1400000US13121010208","Census Tract 102.08, Fulton County, Georgia","395","3609",
"1400000US13121010209","Census Tract 102.09, Fulton County, Georgia","405","4643",
"1400000US13121010210","Census Tract 102.10, Fulton County, Georgia","476","5828",
"1400000US13121010211","Census Tract 102.11, Fulton County, Georgia","552","3917",
"1400000US13121010212","Census Tract 102.12, Fulton County, Georgia","587","4743",
"1400000US13121010301","Census Tract 103.01, Fulton County, Georgia","894","13696",
"1400000US13121010303","Census Tract 103.03, Fulton County, Georgia","1037","8902",
"1400000US13121010304","Census Tract 103.04, Fulton County, Georgia","791","10716",
"1400000US13121010400","Census Tract 104, Fulton County, Georgia","428","6928",
